customerid,country
15018,United Kingdom
16743,United Kingdom
15723,United Kingdom
12779,Poland
13756,United Kingdom
14156,EIRE
16265,United Kingdom
14587,United Kingdom
12523,France
17114,United Kingdom
16402,United Kingdom
17888,United Kingdom
14215,United Kingdom
14779,United Kingdom
13569,United Kingdom
14237,United Kingdom
16770,United Kingdom
13611,United Kingdom
16010,United Kingdom
17018,United Kingdom
12434,Australia
14209,United Kingdom
15012,United Kingdom
17315,United Kingdom
15235,United Kingdom
17204,United Kingdom
16029,United Kingdom
14901,United Kingdom
15290,United Kingdom
13880,United Kingdom
17988,United Kingdom
14744,United Kingdom
16722,United Kingdom
12868,United Kingdom
14373,United Kingdom
12724,France
14119,United Kingdom
15039,United Kingdom
14577,United Kingdom
13097,United Kingdom
12377,Switzerland
16274,United Kingdom
13599,United Kingdom
17858,United Kingdom
12797,Portugal
12347,Iceland
17454,United Kingdom
13782,United Kingdom
12708,Germany
15301,United Kingdom
16233,United Kingdom
17076,United Kingdom
15562,United Kingdom
18179,United Kingdom
12725,Italy
18044,United Kingdom
12583,France
17850,United Kingdom
14462,United Kingdom
14413,United Kingdom
15456,United Kingdom
12691,France
18071,United Kingdom
18062,United Kingdom
13240,United Kingdom
17609,United Kingdom
16923,United Kingdom
13838,United Kingdom
14813,United Kingdom
17787,United Kingdom
13898,United Kingdom
12672,France
14748,United Kingdom
15038,United Kingdom
13496,United Kingdom
16168,United Kingdom
16493,United Kingdom
12652,France
16676,United Kingdom
12662,Germany
14320,United Kingdom
16684,United Kingdom
13324,United Kingdom
18141,United Kingdom
15661,United Kingdom
17251,United Kingdom
12539,Spain
17917,United Kingdom
14684,United Kingdom
15465,United Kingdom
17530,United Kingdom
16718,United Kingdom
12471,Germany
13107,United Kingdom
16700,United Kingdom
18109,United Kingdom
15502,United Kingdom
12510,Spain
17949,United Kingdom
13230,United Kingdom
16583,United Kingdom
16321,Australia
16282,United Kingdom
13941,United Kingdom
15468,United Kingdom
16059,United Kingdom
15518,United Kingdom
12924,United Kingdom
16812,United Kingdom
15856,United Kingdom
14355,United Kingdom
12429,Denmark
14031,United Kingdom
16843,United Kingdom
14770,United Kingdom
17420,United Kingdom
15527,United Kingdom
12472,Germany
12735,France
17340,United Kingdom
17450,United Kingdom
15738,United Kingdom
16206,United Kingdom
17230,United Kingdom
17894,United Kingdom
13117,United Kingdom
18043,United Kingdom
14794,United Kingdom
16327,United Kingdom
13238,United Kingdom
12383,Belgium
15984,United Kingdom
18092,United Kingdom
13077,United Kingdom
16883,United Kingdom
15180,United Kingdom
14409,United Kingdom
18050,United Kingdom
13295,United Kingdom
14090,United Kingdom
15664,United Kingdom
15316,United Kingdom
15680,United Kingdom
16241,United Kingdom
15835,United Kingdom
14825,United Kingdom
12705,Germany
17243,United Kingdom
12600,Germany
14828,United Kingdom
16048,United Kingdom
12413,France
14051,United Kingdom
16791,United Kingdom
13198,United Kingdom
12678,France
17239,United Kingdom
15727,United Kingdom
15204,United Kingdom
13047,United Kingdom
15485,United Kingdom
16873,United Kingdom
16161,United Kingdom
15392,United Kingdom
13269,United Kingdom
15165,United Kingdom
17708,United Kingdom
13874,United Kingdom
16456,United Kingdom
17496,United Kingdom
17069,United Kingdom
15607,United Kingdom
15777,United Kingdom
14437,United Kingdom
16905,United Kingdom
18168,United Kingdom
13174,United Kingdom
14395,United Kingdom
12944,United Kingdom
16928,United Kingdom
12647,Germany
12370,Cyprus
15529,United Kingdom
13649,United Kingdom
12668,Germany
13267,United Kingdom
13246,United Kingdom
15078,United Kingdom
13065,United Kingdom
12731,France
15197,United Kingdom
14242,United Kingdom
14472,United Kingdom
14312,United Kingdom
17682,United Kingdom
17293,United Kingdom
12494,France
17491,United Kingdom
17017,United Kingdom
12793,Portugal
15628,United Kingdom
14441,United Kingdom
15987,United Kingdom
16817,United Kingdom
13802,United Kingdom
14944,United Kingdom
15329,United Kingdom
16150,United Kingdom
14505,United Kingdom
16503,United Kingdom
15525,United Kingdom
17324,United Kingdom
13842,United Kingdom
17796,United Kingdom
15211,United Kingdom
14085,United Kingdom
14739,United Kingdom
13481,United Kingdom
14769,United Kingdom
17097,Spain
14334,United Kingdom
14299,United Kingdom
16552,United Kingdom
15384,United Kingdom
16350,United Kingdom
16835,United Kingdom
