invoiceno,stockcode,quantity,invoicedate,customerid
540475,22775,24,2011-01-07 14:43:00.000000,15311
541564,85123A,1,2011-01-19 11:38:00.000000,16904
537227,22632,48,2010-12-06 08:42:00.000000,17677
536569,22579,1,2010-12-01 15:35:00.000000,16274
538171,21588,2,2010-12-09 20:01:00.000000,17530
539988,22784,1,2010-12-23 16:06:00.000000,18116
538636,22838,1,2010-12-13 13:50:00.000000,14639
537392,22371,1,2010-12-06 13:58:00.000000,17068
538870,84823,2,2010-12-14 14:54:00.000000,12829
537674,21917,24,2010-12-08 09:51:00.000000,15628
540971,22551,12,2011-01-12 14:10:00.000000,12383
537201,22244,12,2010-12-05 14:19:00.000000,12472
538597,21807,10,2010-12-13 12:26:00.000000,15555
537144,22328,1,2010-12-05 13:00:00.000000,15880
539374,22617,3,2010-12-17 11:40:00.000000,14769
541271,22967,6,2011-01-17 11:12:00.000000,12388
540482,84949,6,2011-01-07 15:48:00.000000,14672
538064,22332,1,2010-12-09 13:47:00.000000,15271
540816,84692,6,2011-01-11 12:55:00.000000,15518
538198,22142,4,2010-12-10 11:01:00.000000,17827
537137,21260,4,2010-12-05 12:43:00.000000,16327
537378,22627,6,2010-12-06 13:06:00.000000,14911
538917,90129A,3,2010-12-15 10:57:00.000000,17449
536863,20963,1,2010-12-03 11:19:00.000000,17967
537133,21481,1,2010-12-05 12:29:00.000000,18156
537137,20727,2,2010-12-05 12:43:00.000000,16327
538248,17091A,2,2010-12-10 12:14:00.000000,18116
537224,21899,1,2010-12-05 16:24:00.000000,13174
539654,22728,8,2010-12-20 17:05:00.000000,17340
537405,22755,1,2010-12-06 14:51:00.000000,17841
538888,16012,48,2010-12-14 16:23:00.000000,17912
540951,22131,5,2011-01-12 13:10:00.000000,13113
539754,47566,1,2010-12-21 16:06:00.000000,12748
541414,84992,1,2011-01-17 16:14:00.000000,18212
538255,84609,4,2010-12-10 12:33:00.000000,14911
537065,21555,6,2010-12-05 11:57:00.000000,12567
540672,21975,24,2011-01-10 15:51:00.000000,15281
536526,22173,16,2010-12-01 12:58:00.000000,14001
537236,20914,12,2010-12-06 09:52:00.000000,16858
538903,22800,4,2010-12-15 10:17:00.000000,13496
536972,48111,2,2010-12-03 13:42:00.000000,16926
539580,22804,12,2010-12-20 12:51:00.000000,15312
538836,21360,1,2010-12-14 13:09:00.000000,12748
537896,35971,24,2010-12-09 10:33:00.000000,18071
540994,21504,12,2011-01-13 09:29:00.000000,13089
540458,22088,6,2011-01-07 12:28:00.000000,12501
537362,22551,1,2010-12-06 12:34:00.000000,17596
541121,85099B,10,2011-01-14 09:20:00.000000,12672
540059,21609,96,2011-01-04 14:33:00.000000,17457
537393,21445,12,2010-12-06 13:59:00.000000,13089
536976,21967,3,2010-12-03 14:18:00.000000,14723
C538882,21791,-12,2010-12-14 15:56:00.000000,12797
539647,47504K,1,2010-12-20 16:08:00.000000,15460
537759,82482,6,2010-12-08 11:42:00.000000,13126
537818,22471,3,2010-12-08 13:53:00.000000,12766
540374,22197,24,2011-01-06 17:19:00.000000,15845
538709,21106,1,2010-12-14 10:46:00.000000,16442
540946,85054,12,2011-01-12 12:43:00.000000,12359
540647,21199,2,2011-01-10 14:57:00.000000,17406
536874,22960,1,2010-12-03 11:35:00.000000,16891
537159,84032A,1,2010-12-05 13:17:00.000000,14527
540957,20675,4,2011-01-12 13:30:00.000000,15311
540458,22131,6,2011-01-07 12:28:00.000000,12501
539414,22314,3,2010-12-17 13:45:00.000000,16931
538209,22441,2,2010-12-10 11:42:00.000000,12748
536409,21824,3,2010-12-01 11:45:00.000000,17908
536993,82011C,1,2010-12-03 15:19:00.000000,14396
537265,20752,1,2010-12-06 11:26:00.000000,15919
537359,21407,3,2010-12-06 12:30:00.000000,14825
537254,21843,1,2010-12-06 11:01:00.000000,15898
538077,21326,24,2010-12-09 14:19:00.000000,14667
540259,22960,6,2011-01-06 09:00:00.000000,18226
539496,21871,12,2010-12-20 10:38:00.000000,13050
539439,21499,25,2010-12-17 15:14:00.000000,13869
540397,21078,1,2011-01-06 18:57:00.000000,13187
539637,85184C,1,2010-12-20 15:22:00.000000,14083
537335,22747,1,2010-12-06 12:15:00.000000,15048
541251,21340,8,2011-01-16 13:25:00.000000,15046
541292,22133,12,2011-01-17 13:30:00.000000,15596
537209,21112,1,2010-12-05 15:12:00.000000,14606
539607,22895,6,2010-12-20 14:10:00.000000,12681
538369,22619,3,2010-12-12 11:06:00.000000,17251
540915,82484,3,2011-01-12 12:00:00.000000,13267
540146,22522,1,2011-01-05 10:51:00.000000,15002
537255,22381,5,2010-12-06 11:03:00.000000,14443
540514,22625,1,2011-01-09 11:43:00.000000,15708
C537039,20936,-1,2010-12-05 10:25:00.000000,15708
536986,22492,36,2010-12-03 14:40:00.000000,16140
537626,22195,12,2010-12-07 14:57:00.000000,12347
541664,22138,4,2011-01-20 12:23:00.000000,17862
539262,85159A,12,2010-12-16 14:35:00.000000,15789
540856,22281,2,2011-01-12 10:16:00.000000,16655
538811,20713,10,2010-12-14 12:22:00.000000,13178
537688,85150,6,2010-12-08 10:35:00.000000,17406
537889,22472,3,2010-12-09 10:04:00.000000,13319
536520,22938,5,2010-12-01 12:43:00.000000,14729
536488,22909,1,2010-12-01 12:31:00.000000,17897
537627,85049D,12,2010-12-07 14:58:00.000000,14739
540561,47567B,3,2011-01-10 10:32:00.000000,13004
540516,84946,3,2011-01-09 12:01:00.000000,16326
539041,17003,36,2010-12-15 15:34:00.000000,15456
540021,22946,1,2011-01-04 12:51:00.000000,17841
538508,21472,6,2010-12-12 13:32:00.000000,15998
539654,22798,16,2010-12-20 17:05:00.000000,17340
539324,22074,1,2010-12-16 19:51:00.000000,14985
540980,22465,6,2011-01-12 15:22:00.000000,14514
538186,22791,12,2010-12-10 10:26:00.000000,13000
537359,21733,6,2010-12-06 12:30:00.000000,14825
539009,22625,1,2010-12-15 13:24:00.000000,13221
538890,22530,2,2010-12-14 16:39:00.000000,12867
540178,22554,12,2011-01-05 12:42:00.000000,12681
541658,22753,3,2011-01-20 12:16:00.000000,15529
541249,22710,25,2011-01-16 13:18:00.000000,13700
540697,22775,12,2011-01-11 09:20:00.000000,16670
536464,90059B,2,2010-12-01 12:23:00.000000,17968
537199,22818,12,2010-12-05 14:06:00.000000,15894
538783,21213,24,2010-12-14 11:38:00.000000,14961
540647,22784,7,2011-01-10 14:57:00.000000,17406
541277,51014A,12,2011-01-17 11:46:00.000000,12673
536415,85049H,2,2010-12-01 11:57:00.000000,12838
539988,22775,1,2010-12-23 16:06:00.000000,18116
540533,22469,3,2011-01-09 14:12:00.000000,15005
C538350,21175,-1,2010-12-10 15:01:00.000000,13798
537955,20914,1,2010-12-09 11:28:00.000000,16782
540023,21974,2,2011-01-04 12:58:00.000000,15039
538307,22732,1,2010-12-10 13:27:00.000000,14667
538327,22131,1,2010-12-10 13:58:00.000000,15514
541510,85059,1,2011-01-18 16:39:00.000000,14428
538533,21975,2,2010-12-13 10:31:00.000000,14796
540907,21791,12,2011-01-12 11:52:00.000000,13488
539043,22420,24,2010-12-15 15:45:00.000000,12928
541432,21485,3,2011-01-18 10:15:00.000000,12748
540473,22725,2,2011-01-07 14:31:00.000000,17284
539455,90082D,1,2010-12-17 17:17:00.000000,12748
539321,85031B,1,2010-12-16 19:19:00.000000,14723
539659,20725,20,2010-12-21 09:47:00.000000,15034
541406,22665,1,2011-01-17 15:19:00.000000,14657
540529,22663,10,2011-01-09 13:50:00.000000,16748
539050,22413,1,2010-12-15 16:21:00.000000,12577
538255,22371,4,2010-12-10 12:33:00.000000,14911
540834,22499,4,2011-01-11 14:50:00.000000,14733
540353,22969,12,2011-01-06 14:53:00.000000,13764
540839,22808,2,2011-01-11 15:42:00.000000,16791
538849,22188,2,2010-12-14 13:31:00.000000,14415
538077,22212,6,2010-12-09 14:19:00.000000,14667
541664,22511,8,2011-01-20 12:23:00.000000,17862
537369,22411,1,2010-12-06 12:41:00.000000,17860
539075,22348,1,2010-12-15 17:28:00.000000,17189
538626,84030E,6,2010-12-13 12:57:00.000000,17338
541253,85099C,2,2011-01-16 13:51:00.000000,17841
537135,84849B,5,2010-12-05 12:35:00.000000,17059
541485,22966,1,2011-01-18 13:05:00.000000,18118
539240,85036B,24,2010-12-16 13:15:00.000000,15194
540409,51008,10,2011-01-07 10:00:00.000000,16019
C539071,22279,-1,2010-12-15 17:04:00.000000,17820
541524,22516,6,2011-01-19 10:49:00.000000,17091
539676,POST,3,2010-12-21 10:54:00.000000,12423
539044,84836,36,2010-12-15 15:47:00.000000,15727
537421,22943,2,2010-12-06 15:25:00.000000,17218
537197,22505,4,2010-12-05 14:02:00.000000,12647
539766,22572,1,2010-12-22 11:11:00.000000,14092
537209,22568,2,2010-12-05 15:12:00.000000,14606
540407,22720,3,2011-01-07 09:55:00.000000,16839
540798,10002,12,2011-01-11 12:11:00.000000,17365
541293,22778,24,2011-01-17 13:39:00.000000,15311
536401,20992,9,2010-12-01 11:21:00.000000,15862
540525,85099B,10,2011-01-09 13:02:00.000000,16833
540349,21935,10,2011-01-06 14:07:00.000000,15379
536415,22580,1,2010-12-01 11:57:00.000000,12838
537804,72127,14,2010-12-08 13:17:00.000000,12748
540531,84991,1,2011-01-09 14:03:00.000000,16549
538497,20978,1,2010-12-12 12:44:00.000000,14684
538854,22192,2,2010-12-14 13:44:00.000000,13102
539041,22419,10,2010-12-15 15:34:00.000000,15456
536531,22688,4,2010-12-01 13:23:00.000000,15485
537050,22553,2,2010-12-05 11:10:00.000000,14800
538342,22586,47,2010-12-10 14:04:00.000000,15514
540033,21498,25,2011-01-04 14:12:00.000000,13680
536401,85150,1,2010-12-01 11:21:00.000000,15862
536556,20749,2,2010-12-01 14:38:00.000000,17643
539459,22059,2,2010-12-17 17:33:00.000000,12839
540801,21498,25,2011-01-11 12:25:00.000000,12540
537374,22561,2,2010-12-06 12:55:00.000000,17259
540247,21421,3,2011-01-05 15:56:00.000000,15464
539579,20829,4,2010-12-20 12:51:00.000000,16713
540990,21175,12,2011-01-12 16:51:00.000000,17048
540839,72802B,1,2011-01-11 15:42:00.000000,16791
536582,22530,24,2010-12-01 16:21:00.000000,12947
539607,22892,12,2010-12-20 14:10:00.000000,12681
538902,10135,20,2010-12-15 10:04:00.000000,14150
537042,21427,1,2010-12-05 10:45:00.000000,13838
536532,21156,8,2010-12-01 13:24:00.000000,12433
538248,21786,1,2010-12-10 12:14:00.000000,18116
540402,22512,8,2011-01-07 09:31:00.000000,16567
C539949,22083,-6,2010-12-23 11:49:00.000000,17581
541277,47599A,4,2011-01-17 11:46:00.000000,12673
540630,48194,1,2011-01-10 11:59:00.000000,17849
537831,82483,2,2010-12-08 14:50:00.000000,17894
C539287,85175,-80,2010-12-16 16:24:00.000000,17655
539015,22156,12,2010-12-15 13:38:00.000000,15822
C538874,22230,-1,2010-12-14 15:16:00.000000,12867
540817,21755,3,2011-01-11 12:56:00.000000,14209
540943,22188,1,2011-01-12 12:31:00.000000,17841
537419,82583,12,2010-12-06 15:14:00.000000,13495
541596,21975,2,2011-01-19 16:19:00.000000,17602
538809,22943,4,2010-12-14 12:17:00.000000,15514
541491,20967,4,2011-01-18 14:04:00.000000,12510
540703,21495,25,2011-01-11 09:58:00.000000,14135
540362,22355,5,2011-01-06 15:42:00.000000,13656
541596,85216,6,2011-01-19 16:19:00.000000,17602
538508,22812,6,2010-12-12 13:32:00.000000,15998
539920,22170,2,2010-12-23 11:06:00.000000,14085
541241,21411,1,2011-01-16 11:08:00.000000,13782
536381,22644,1,2010-12-01 09:41:00.000000,15311
540277,85099B,100,2011-01-06 12:18:00.000000,14258
540595,22077,12,2011-01-10 11:35:00.000000,14321
537129,20970,4,2010-12-05 12:15:00.000000,13506
540662,84879,32,2011-01-10 15:16:00.000000,13767
537847,21485,3,2010-12-08 15:33:00.000000,14766
541094,20752,2,2011-01-13 13:36:00.000000,13246
539988,84378,1,2010-12-23 16:06:00.000000,18116
540826,21955,4,2011-01-11 14:00:00.000000,13102
537047,22739,2,2010-12-05 11:02:00.000000,13069
538064,21221,4,2010-12-09 13:47:00.000000,15271
541569,21914,12,2011-01-19 12:14:00.000000,13520
536409,85099F,1,2010-12-01 11:45:00.000000,17908
540188,21518,12,2011-01-05 13:57:00.000000,16771
537440,35001W,1,2010-12-06 17:16:00.000000,17869
540520,22473,1,2011-01-09 12:31:00.000000,17555
537395,22085,1,2010-12-06 14:05:00.000000,15356
540999,22701,24,2011-01-13 10:08:00.000000,13694
540943,20972,5,2011-01-12 12:31:00.000000,17841
538951,20724,1,2010-12-15 11:26:00.000000,16782
538508,21833,6,2010-12-12 13:32:00.000000,15998
537794,84030E,2,2010-12-08 13:01:00.000000,16713
538198,22586,6,2010-12-10 11:01:00.000000,17827
541524,22514,6,2011-01-19 10:49:00.000000,17091
538951,20723,1,2010-12-15 11:26:00.000000,16782
540274,22800,20,2011-01-06 11:59:00.000000,14618
539761,22508,4,2010-12-22 10:29:00.000000,17593
540248,21791,2,2011-01-05 15:57:00.000000,15034
536412,22749,1,2010-12-01 11:49:00.000000,17920
541012,20726,2,2011-01-13 11:48:00.000000,17019
541120,20711,10,2011-01-14 09:13:00.000000,12490
536409,22197,2,2010-12-01 11:45:00.000000,17908
537465,22114,4,2010-12-07 10:32:00.000000,17735
540509,22745,5,2011-01-09 11:27:00.000000,14800
540510,22750,4,2011-01-09 11:32:00.000000,15611
541103,21533,3,2011-01-13 14:24:00.000000,14215
538636,21669,12,2010-12-13 13:50:00.000000,14639
538250,22570,2,2010-12-10 12:20:00.000000,18118
538345,22801,4,2010-12-10 14:45:00.000000,13787
538529,22748,6,2010-12-13 10:24:00.000000,14290
537607,22952,6,2010-12-07 13:18:00.000000,15965
540509,22451,12,2011-01-09 11:27:00.000000,14800
538421,21982,4,2010-12-12 12:08:00.000000,17917
537688,21174,12,2010-12-08 10:35:00.000000,17406
540278,21479,2,2011-01-06 12:31:00.000000,15719
541530,21733,6,2011-01-19 10:56:00.000000,14769
538849,22663,6,2010-12-14 13:31:00.000000,14415
540540,22443,3,2011-01-09 15:10:00.000000,17218
541409,22356,100,2011-01-17 15:50:00.000000,13246
541615,22569,6,2011-01-20 10:43:00.000000,16395
539281,85184C,6,2010-12-16 15:45:00.000000,18176
537384,22865,10,2010-12-06 13:21:00.000000,15984
537135,21166,1,2010-12-05 12:35:00.000000,17059
538198,22818,12,2010-12-10 11:01:00.000000,17827
C541693,22636,-1,2011-01-20 17:02:00.000000,14309
537781,21201,1,2010-12-08 12:46:00.000000,17341
539105,22617,3,2010-12-16 10:43:00.000000,14825
537489,22556,12,2010-12-07 11:33:00.000000,17017
537362,22424,1,2010-12-06 12:34:00.000000,17596
C539253,22423,-10,2010-12-16 14:19:00.000000,17188
540373,22429,2,2011-01-06 17:10:00.000000,13280
540265,22907,12,2011-01-06 10:46:00.000000,15271
538354,22904,12,2010-12-10 15:45:00.000000,16873
538449,21877,2,2010-12-12 12:24:00.000000,17085
536522,22449,1,2010-12-01 12:49:00.000000,15012
538507,84836,12,2010-12-12 13:26:00.000000,15547
537160,21870,12,2010-12-05 13:18:00.000000,14161
539498,90027D,4,2010-12-20 10:48:00.000000,15279
538512,22481,12,2010-12-12 14:03:00.000000,16665
541281,21382,1,2011-01-17 11:59:00.000000,17988
538367,22630,5,2010-12-12 10:48:00.000000,14800
540247,37475,1,2011-01-05 15:56:00.000000,15464
539038,85212,72,2010-12-15 14:45:00.000000,15641
541408,47590A,9,2011-01-17 15:42:00.000000,15738
537224,21790,6,2010-12-05 16:24:00.000000,13174
540824,22746,6,2011-01-11 13:31:00.000000,12728
538095,22796,2,2010-12-09 14:55:00.000000,17097
C541688,22423,-4,2011-01-20 16:15:00.000000,12683
541684,84988,8,2011-01-20 15:22:00.000000,15498
541134,84970L,12,2011-01-14 10:20:00.000000,15615
537224,84531A,1,2010-12-05 16:24:00.000000,13174
537131,21294,48,2010-12-05 12:26:00.000000,15716
538646,21034,1,2010-12-13 14:55:00.000000,17293
536859,22585,10,2010-12-03 10:43:00.000000,12841
541576,21279,2,2011-01-19 13:32:00.000000,17097
540473,84997B,2,2011-01-07 14:31:00.000000,17284
540704,82486,2,2011-01-11 10:04:00.000000,17742
537818,22508,4,2010-12-08 13:53:00.000000,12766
536408,21915,12,2010-12-01 11:41:00.000000,14307
538116,21181,12,2010-12-09 15:32:00.000000,13327
538371,22130,12,2010-12-12 11:07:00.000000,15570
536987,22733,1,2010-12-03 14:54:00.000000,17198
537881,21741,18,2010-12-09 09:23:00.000000,15513
538521,21539,3,2010-12-13 09:02:00.000000,14180
536551,22480,2,2010-12-01 14:34:00.000000,17346
541279,20679,3,2011-01-17 11:55:00.000000,18223
537393,22630,24,2010-12-06 13:59:00.000000,13089
540458,22051,25,2011-01-07 12:28:00.000000,12501
539407,22264,192,2010-12-17 12:56:00.000000,12726
541220,22557,192,2011-01-14 14:11:00.000000,14156
537806,22131,12,2010-12-08 13:21:00.000000,13113
537626,20782,6,2010-12-07 14:57:00.000000,12347
540951,22061,12,2011-01-12 13:10:00.000000,13113
539010,22646,8,2010-12-15 13:24:00.000000,15005
540642,22975,24,2011-01-10 13:22:00.000000,12681
538093,22386,10,2010-12-09 14:49:00.000000,12682
536409,22568,1,2010-12-01 11:45:00.000000,17908
540813,20698,2,2011-01-11 12:41:00.000000,14669
540179,21874,6,2011-01-05 12:54:00.000000,16033
540550,21731,12,2011-01-10 09:11:00.000000,12539
541265,22487,2,2011-01-16 16:23:00.000000,17609
538069,72349B,5,2010-12-09 14:08:00.000000,16795
541417,22244,1,2011-01-17 16:23:00.000000,16033
538053,21843,4,2010-12-09 13:34:00.000000,15856
540031,21864,1,2011-01-04 13:50:00.000000,17975
538635,22953,2,2010-12-13 13:32:00.000000,17303
540700,22244,12,2011-01-11 09:47:00.000000,12393
537880,21955,2,2010-12-09 09:14:00.000000,12963
537226,21713,8,2010-12-06 08:34:00.000000,15987
537818,22444,24,2010-12-08 13:53:00.000000,12766
536488,22651,2,2010-12-01 12:31:00.000000,17897
537627,21916,24,2010-12-07 14:58:00.000000,14739
539475,22555,1,2010-12-19 14:41:00.000000,16686
537567,22498,1,2010-12-07 11:59:00.000000,18119
537649,84949,12,2010-12-07 15:48:00.000000,13807
538107,21481,6,2010-12-09 15:21:00.000000,12826
539439,22841,2,2010-12-17 15:14:00.000000,13869
540543,84520B,6,2011-01-09 15:23:00.000000,14395
539442,22966,12,2010-12-17 15:39:00.000000,16558
539185,84898F,1,2010-12-16 11:53:00.000000,16470
540795,22624,2,2011-01-11 12:00:00.000000,13078
539642,22748,2,2010-12-20 15:35:00.000000,15867
540187,22570,8,2011-01-05 13:53:00.000000,15358
536988,85049F,2,2010-12-03 15:05:00.000000,17238
541260,22920,4,2011-01-16 15:44:00.000000,16059
540516,22231,1,2011-01-09 12:01:00.000000,16326
538896,10125,20,2010-12-15 09:09:00.000000,16145
539290,85123A,6,2010-12-16 16:36:00.000000,16271
539579,22773,1,2010-12-20 12:51:00.000000,16713
541293,21231,2,2011-01-17 13:39:00.000000,15311
540826,20712,10,2011-01-11 14:00:00.000000,13102
540372,21242,8,2011-01-06 16:41:00.000000,13081
540907,22084,6,2011-01-12 11:52:00.000000,13488
540458,15056N,3,2011-01-07 12:28:00.000000,12501
540122,22647,72,2011-01-05 10:39:00.000000,13694
540273,20866,120,2011-01-06 11:57:00.000000,17368
537192,22963,6,2010-12-05 13:42:00.000000,16402
541291,22291,24,2011-01-17 13:25:00.000000,14667
538163,21822,1,2010-12-09 17:27:00.000000,17841
541122,22328,6,2011-01-14 09:23:00.000000,12708
538716,22621,12,2010-12-14 11:04:00.000000,14907
536530,22097,1,2010-12-01 13:21:00.000000,17905
540482,84946,6,2011-01-07 15:48:00.000000,14672
C538768,22686,-12,2010-12-14 11:34:00.000000,14829
537762,22909,12,2010-12-08 12:01:00.000000,16558
536412,22086,1,2010-12-01 11:49:00.000000,17920
537382,20975,2,2010-12-06 13:13:00.000000,16710
539039,22754,12,2010-12-15 15:00:00.000000,13124
537421,22581,5,2010-12-06 15:25:00.000000,17218
541103,22755,12,2011-01-13 14:24:00.000000,14215
C539438,22655,-1,2010-12-17 15:11:00.000000,16607
541649,22766,8,2011-01-20 11:39:00.000000,17418
538205,22753,1,2010-12-10 11:24:00.000000,12748
539579,22719,2,2010-12-20 12:51:00.000000,16713
539099,22986,25,2010-12-16 10:30:00.000000,16670
537399,22480,4,2010-12-06 14:31:00.000000,13030
541241,22913,1,2011-01-16 11:08:00.000000,13782
539075,21212,1,2010-12-15 17:28:00.000000,17189
541485,21466,1,2011-01-18 13:05:00.000000,18118
538653,82483,16,2010-12-13 15:12:00.000000,13089
539496,22381,5,2010-12-20 10:38:00.000000,13050
537335,22694,1,2010-12-06 12:15:00.000000,15048
538744,82600,1,2010-12-14 11:26:00.000000,15356
538637,22973,2,2010-12-13 13:52:00.000000,17611
539106,22722,8,2010-12-16 10:51:00.000000,16705
540060,22962,12,2011-01-04 14:40:00.000000,14732
536528,85114B,1,2010-12-01 13:17:00.000000,15525
536535,22118,3,2010-12-01 13:38:00.000000,15605
537160,22297,8,2010-12-05 13:18:00.000000,14161
537617,20969,4,2010-12-07 13:45:00.000000,16086
541429,22344,24,2011-01-18 09:44:00.000000,14688
541265,20711,3,2011-01-16 16:23:00.000000,17609
538069,22956,1,2010-12-09 14:08:00.000000,16795
541283,22435,12,2011-01-17 12:34:00.000000,12820
539461,21213,12,2010-12-19 10:21:00.000000,17243
539044,22874,6,2010-12-15 15:47:00.000000,15727
540469,22045,25,2011-01-07 14:04:00.000000,12484
537692,37448,6,2010-12-08 10:40:00.000000,14796
538507,22227,18,2010-12-12 13:26:00.000000,15547
539421,21407,3,2010-12-17 14:21:00.000000,14016
538872,84666,6,2010-12-14 15:13:00.000000,13097
536984,20961,1,2010-12-03 14:35:00.000000,17841
536987,20658,1,2010-12-03 14:54:00.000000,17198
538209,22563,1,2010-12-10 11:42:00.000000,12748
540523,22241,1,2011-01-09 12:51:00.000000,13069
537077,22636,3,2010-12-05 11:59:00.000000,17062
540372,21723,12,2011-01-06 16:41:00.000000,13081
539353,10133,20,2010-12-17 11:30:00.000000,12782
537897,22495,6,2010-12-09 10:37:00.000000,12683
536464,90059E,3,2010-12-01 12:23:00.000000,17968
538206,90062,3,2010-12-10 11:31:00.000000,17827
540248,22956,4,2011-01-05 15:57:00.000000,15034
