customerid,country
13527,United Kingdom
15189,United Kingdom
13748,United Kingdom
17007,United Kingdom
17700,United Kingdom
17707,United Kingdom
18102,United Kingdom
15601,United Kingdom
12957,United Kingdom
17377,United Kingdom
16221,United Kingdom
13593,United Kingdom
16125,United Kingdom
17306,United Kingdom
12748,United Kingdom
14669,United Kingdom
12681,France
16442,United Kingdom
15750,United Kingdom
12870,United Kingdom
12605,Germany
16748,United Kingdom
17863,United Kingdom
17188,United Kingdom
13999,United Kingdom
16551,United Kingdom
16473,United Kingdom
15266,United Kingdom
13831,United Kingdom
14101,United Kingdom
17924,United Kingdom
14821,United Kingdom
12643,France
17214,United Kingdom
13370,United Kingdom
15998,United Kingdom
15854,United Kingdom
17059,United Kingdom
15291,United Kingdom
13694,United Kingdom
12753,Japan
13048,United Kingdom
17135,United Kingdom
16996,United Kingdom
17062,United Kingdom
14761,United Kingdom
13495,United Kingdom
15366,United Kingdom
17760,United Kingdom
13784,United Kingdom
17090,United Kingdom
17742,United Kingdom
15510,United Kingdom
17442,United Kingdom
17820,United Kingdom
14729,United Kingdom
17884,United Kingdom
18118,United Kingdom
15034,United Kingdom
14185,United Kingdom
15379,United Kingdom
17862,United Kingdom
16638,United Kingdom
15422,United Kingdom
16365,United Kingdom
17525,United Kingdom
17227,United Kingdom
14850,United Kingdom
17457,United Kingdom
15181,United Kingdom
16033,United Kingdom
17406,United Kingdom
14606,United Kingdom
13124,United Kingdom
15298,United Kingdom
13488,United Kingdom
14210,United Kingdom
15498,United Kingdom
12524,Germany
15246,United Kingdom
17001,United Kingdom
18016,United Kingdom
16081,United Kingdom
12489,France
16679,United Kingdom
17696,United Kingdom
13817,Germany
15799,United Kingdom
15101,United Kingdom
13317,United Kingdom
16570,United Kingdom
13329,United Kingdom
14426,United Kingdom
15346,United Kingdom
12728,France
15002,United Kingdom
18260,United Kingdom
15889,United Kingdom
16422,United Kingdom
17375,United Kingdom
17392,United Kingdom
13982,United Kingdom
18229,United Kingdom
15454,United Kingdom
15983,United Kingdom
17999,United Kingdom
16719,United Kingdom
17869,United Kingdom
12388,Australia
17951,United Kingdom
14643,United Kingdom
15048,United Kingdom
16919,United Kingdom
17596,United Kingdom
13050,United Kingdom
17965,United Kingdom
15157,United Kingdom
15547,United Kingdom
13455,United Kingdom
16727,United Kingdom
17937,United Kingdom
15950,United Kingdom
17674,United Kingdom
16656,United Kingdom
12437,France
15953,United Kingdom
16927,United Kingdom
14388,United Kingdom
14911,EIRE
15311,United Kingdom
16782,United Kingdom
12766,Portugal
14150,United Kingdom
17897,United Kingdom
14243,United Kingdom
14672,United Kingdom
14062,United Kingdom
14161,United Kingdom
17585,United Kingdom
14525,United Kingdom
17905,United Kingdom
16112,United Kingdom
16781,United Kingdom
12942,United Kingdom
14841,United Kingdom
15353,United Kingdom
17643,United Kingdom
16458,United Kingdom
14047,United Kingdom
17372,United Kingdom
14229,United Kingdom
12484,Spain
16795,United Kingdom
13656,United Kingdom
15021,United Kingdom
18223,United Kingdom
18176,United Kingdom
15100,United Kingdom
15271,United Kingdom
13255,United Kingdom
14113,United Kingdom
13948,United Kingdom
15464,United Kingdom
13564,United Kingdom
14396,United Kingdom
14709,United Kingdom
14082,United Kingdom
16558,United Kingdom
12431,Australia
15898,United Kingdom
15028,United Kingdom
14985,United Kingdom
13565,United Kingdom
16470,United Kingdom
15719,United Kingdom
13199,United Kingdom
14553,United Kingdom
16875,United Kingdom
14309,United Kingdom
13221,United Kingdom
13183,United Kingdom
15171,United Kingdom
12483,Sweden
17702,United Kingdom
17659,United Kingdom
17396,United Kingdom
17841,United Kingdom
17191,United Kingdom
13458,United Kingdom
16912,United Kingdom
18069,United Kingdom
13672,United Kingdom
14344,United Kingdom
13225,United Kingdom
17320,United Kingdom
16270,United Kingdom
16893,United Kingdom
15361,United Kingdom
13008,United Kingdom
16351,United Kingdom
15139,United Kingdom
12393,Australia
13786,United Kingdom
15945,United Kingdom
16500,United Kingdom
13368,United Kingdom
17218,United Kingdom
17456,United Kingdom
16395,United Kingdom
15033,United Kingdom
13030,United Kingdom
16771,United Kingdom
13304,United Kingdom
17368,United Kingdom
16779,United Kingdom
17880,United Kingdom
13385,United Kingdom
12928,United Kingdom
15689,United Kingdom
12721,France
17548,United Kingdom
14737,United Kingdom
15262,United Kingdom
13418,United Kingdom
13000,United Kingdom
16094,United Kingdom
16810,United Kingdom
18113,United Kingdom
13369,United Kingdom
12841,United Kingdom
13758,United Kingdom
17591,United Kingdom
16954,United Kingdom
15288,United Kingdom
12481,Germany
14292,United Kingdom
18085,United Kingdom
15107,United Kingdom
16550,United Kingdom
12423,Belgium
